FID,sovereignt,Country,PEPFAR,Signed,Deposited,SignedDeposited,Maternity_Health_Access_to_Care,Human_Trafficking,ICAO,UNESCO,FAO,OAS,UNGA,OSCE,OECD,NATO,EU,AU,UNHCR,MLO_Index,APEC,NAFTA,WTO,ASEAN,CBERA,CAFTA,TP_Index
PA_Data_110m.1,Afghanistan,Afghanistan,,X,X,2,Poor,Tier 2 Watch List,Member,Member,Member,,Member,,,,,,,4,,,Observer,,,,1
PA_Data_110m.2,Angola,Angola,1,,X,1,Poor,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2
PA_Data_110m.3,Albania,Albania,,,X,1,Poor,Tier 2 Watch List,Member,Member,Member,,Member,Member,,Member,,,,6,,,Member,,,,1
PA_Data_110m.4,United Arab Emirates,United Arab Emirates,,,X,1,Good,Tier 2,Member,Member,Member,,Member,,,,,,,4,,,Member,,,,1
PA_Data_110m.5,Argentina,Argentina,,,X,1,Fair,Tier 2,Member,Member,Member,Member,Member,,,,,,Member,6,,,Member,,,,1
PA_Data_110m.6,Armenia,Armenia,,,X,1,Poor,Tier 1,Member,Member,Member,,Member,Member,,,,,,5,,,Member,,,,1
PA_Data_110m.7,Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,
PA_Data_110m.8,France,France,,,X,1,Excellent,Tier 1,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9,,,Member,,,,1
PA_Data_110m.16,Bangladesh,Bangladesh,,,X,1,Poor,Tier 2,Member,Member,Member,,Member,,,,,,Member,5,,,Member,,,,1
PA_Data_110m.9,Australia,Australia,,X,X,2,Excellent,Tier 1,Member,Member,Member,,Member,,Member,,,,Member,6,,,Member,,,,1
PA_Data_110m.10,Austria,Austria,,X,X,2,Excellent,Tier 1,Member,Member,Member,,Member,Member,Member,,Member,,,7,,,Member,,,,1
PA_Data_110m.11,Azerbaijan,Azerbaijan,,,X,1,Poor,Tier 2,Member,Member,Member,,Member,Member,,,,,Member,6,,,Observer,,,,1
PA_Data_110m.12,Burundi,Burundi,1,,X,1,Poor,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2
PA_Data_110m.13,Belgium,Belgium,,X,X,2,Excellent,Tier 1,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9,,,Member,,,,1
PA_Data_110m.14,Benin,Benin,,X,X,2,Unsuitable,Tier 2,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2
PA_Data_110m.15,Burkina Faso,Burkina Faso,,X,X,2,Unsuitable,Tier 2,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2
PA_Data_110m.17,Bulgaria,Bulgaria,,X,X,2,Fair,Tier 2,Member,Member,Member,,Member,Member,,Member,Member,,Member,8,,,Member,,,,1
PA_Data_110m.18,The Bahamas,The Bahamas,2,,X,1,Good,Tier 2,Member,Member,Member,Member,Member,,,,,,,5,,,Observer,,Member,,2
PA_Data_110m.19,Bosnia and Herzegovina,Bosnia and Herzegovina,,,X,1,Fair,Tier 2,Member,Member,Member,,Member,Member,,,,,,5,,,Observer,,,,1
PA_Data_110m.20,Belarus,Belarus,,,X,1,Poor,Tier 2 Watch List,Member,Member,Member,,Member,Member,,,,,,5,,,Observer,,,,1
PA_Data_110m.21,Belize,Belize,2,,X,1,Poor,Tier 2,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,Member,,2
PA_Data_110m.22,Bolivia,Bolivia,,X,X,2,Poor,Tier 2,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,,,1
PA_Data_110m.23,Central African Republic,Central African Republic,,,,0,Unsuitable,Tier 3,Member,Member,Member,,Member,,,,,Suspended,,4.5,Member,,Member,,,,2
PA_Data_110m.24,Canada,Canada,,X,X,2,Excellent,Tier 2,Member,Member,Member,Member,Member,Member,Member,Member,,,Member,9,,Member,Member,,,,2
PA_Data_110m.35,Democratic Republic of the Congo,Democratic Republic of the Congo,1,X,X,2,Unsuitable,Tier 3,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2
PA_Data_110m.25,Brazil,Brazil,3,,X,1,Poor,Tier 2,Member,Member,Member,,Member,,,,,,Member,5,,,Member,,,,1
